Model,Layer,Dataset,Index,Label,Pred_M,Pred_SoM,Pred_hG,Correct_M,Correct_SoM,Correct_hG
GPT-2 Small,6,winogrande,60,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,61,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,62,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,63,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,64,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,65,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,66,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,67,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,68,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,69,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,70,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,71,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,72,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,73,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,74,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,75,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,76,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,77,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,78,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,79,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,80,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,81,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,82,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,83,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,84,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,85,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,86,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,87,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,88,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,89,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,90,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,91,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,92,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,93,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,94,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,95,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,96,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,97,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,98,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,99,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,100,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,101,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,102,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,103,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,104,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,105,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,106,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,107,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,108,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,109,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,110,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,111,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,112,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,113,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,114,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,115,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,116,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,117,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,118,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,119,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,120,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,121,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,122,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,123,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,124,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,125,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,126,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,127,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,128,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,129,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,130,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,131,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,132,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,133,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,134,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,135,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,136,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,137,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,138,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,139,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,140,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,141,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,142,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,143,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,144,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,145,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,146,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,147,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,148,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,149,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,150,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,151,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,152,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,153,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,154,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,155,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,156,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,157,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,158,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,159,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,160,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,161,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,162,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,163,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,164,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,165,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,166,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,167,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,168,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,169,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,170,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,171,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,172,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,173,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,174,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,175,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,176,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,177,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,178,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,179,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,180,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,181,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,182,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,183,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,184,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,185,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,186,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,187,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,188,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,189,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,190,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,191,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,192,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,193,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,194,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,195,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,196,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,197,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,198,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,199,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,200,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,201,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,202,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,203,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,204,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,205,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,206,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,207,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,208,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,209,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,210,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,211,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,212,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,213,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,214,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,215,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,216,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,217,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,218,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,219,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,220,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,221,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,222,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,223,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,224,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,225,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,226,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,227,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,228,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,229,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,230,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,231,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,232,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,233,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,234,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,235,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,236,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,237,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,238,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,239,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,240,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,241,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,242,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,243,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,244,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,245,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,246,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,247,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,248,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,249,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,250,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,251,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,252,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,253,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,254,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,255,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,256,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,257,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,258,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,259,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,260,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,261,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,262,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,263,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,264,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,265,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,266,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,267,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,268,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,269,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,270,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,271,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,272,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,273,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,274,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,275,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,276,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,277,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,278,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,279,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,280,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,281,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,282,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,283,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,284,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,285,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,286,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,287,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,288,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,289,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,290,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,291,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,292,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,293,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,294,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,295,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,296,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,297,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,298,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,299,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,300,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,301,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,302,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,303,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,304,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,305,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,306,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,307,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,308,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,309,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,310,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,311,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,312,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,313,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,314,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,315,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,316,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,317,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,318,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,319,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,320,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,321,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,322,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,323,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,324,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,325,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,326,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,327,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,328,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,329,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,330,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,331,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,332,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,333,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,334,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,335,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,336,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,337,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,338,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,339,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,340,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,341,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,342,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,343,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,344,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,345,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,346,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,347,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,348,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,349,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,350,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,351,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,352,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,353,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,354,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,355,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,356,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,357,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,358,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,359,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,360,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,361,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,362,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,363,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,364,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,365,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,366,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,367,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,368,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,369,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,370,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,371,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,372,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,373,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,374,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,375,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,376,1,1,0,0,1,0,0
GPT-2 Small,6,winogrande,377,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,378,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,379,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,380,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,381,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,382,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,383,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,384,0,1,0,0,0,1,1
GPT-2 Small,6,winogrande,385,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,386,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,387,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,388,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,389,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,390,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,391,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,392,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,393,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,394,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,395,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,396,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,397,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,398,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,399,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,400,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,401,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,402,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,403,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,404,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,405,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,406,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,407,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,408,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,409,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,410,0,0,1,1,1,0,0
GPT-2 Small,6,winogrande,411,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,412,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,413,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,414,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,415,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,416,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,417,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,418,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,419,1,0,1,1,0,1,1
GPT-2 Small,6,winogrande,420,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,421,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,422,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,423,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,424,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,425,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,426,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,427,0,0,0,0,1,1,1
GPT-2 Small,6,winogrande,428,1,0,0,0,0,0,0
GPT-2 Small,6,winogrande,429,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,430,0,1,1,1,0,0,0
GPT-2 Small,6,winogrande,431,1,1,1,1,1,1,1
GPT-2 Small,6,winogrande,432,1,0,0,0,0,0,0
